Datum;Anfang;Ende;key
14.12.2022;00:00;00:15;1
14.12.2022;00:15;00:30;2
14.12.2022;00:30;00:45;3
14.12.2022;00:45;01:00;4
14.12.2022;01:00;01:15;5
14.12.2022;01:15;01:30;6
14.12.2022;01:30;01:45;7
14.12.2022;01:45;02:00;8
14.12.2022;02:00;02:15;9
14.12.2022;02:15;02:30;10
14.12.2022;02:30;02:45;11
14.12.2022;02:45;03:00;12
14.12.2022;03:00;03:15;13
14.12.2022;03:15;03:30;14
14.12.2022;03:30;03:45;15
14.12.2022;03:45;04:00;16
14.12.2022;04:00;04:15;17
14.12.2022;04:15;04:30;18
14.12.2022;04:30;04:45;19
14.12.2022;04:45;05:00;20
14.12.2022;05:00;05:15;21
14.12.2022;05:15;05:30;22
14.12.2022;05:30;05:45;23
14.12.2022;05:45;06:00;24
14.12.2022;06:00;06:15;25
14.12.2022;06:15;06:30;26
14.12.2022;06:30;06:45;27
14.12.2022;06:45;07:00;28
14.12.2022;07:00;07:15;29
14.12.2022;07:15;07:30;30
14.12.2022;07:30;07:45;31
14.12.2024;07:45;08:00;32
14.12.2022;08:00;08:15;33
14.12.2022;08:15;08:30;34
14.12.2022;08:30;08:45;35
14.12.2022;08:45;09:00;36
14.12.2022;09:00;09:15;37
14.12.2022;09:15;09:30;38
14.12.2022;09:30;09:45;39
14.12.2022;09:45;10:00;40
14.12.2022;10:00;10:15;41
14.12.2022;10:15;10:30;42
14.12.2022;10:30;10:45;43
14.12.2022;10:45;11:00;44
14.12.2022;11:00;11:15;45
14.12.2022;11:15;11:30;46
14.12.2022;11:30;11:45;47
14.12.2022;11:45;12:00;48
14.12.2022;12:00;12:15;49
14.12.2022;12:15;12:30;50
14.12.2022;12:30;12:45;51
14.12.2022;12:45;13:00;52
14.12.2022;13:00;13:15;53
14.12.2022;13:15;13:30;54
14.12.2022;13:30;13:45;55
14.12.2022;13:45;14:00;56
14.12.2022;14:00;14:15;57
14.12.2022;14:15;14:30;58
14.12.2022;14:30;14:45;59
14.12.2022;14:45;15:00;60
14.12.2022;15:00;15:15;61
14.12.2022;15:15;15:30;62
14.12.2022;15:30;15:45;63
14.12.2022;15:45;16:00;64
14.12.2022;16:00;16:15;65
14.12.2022;16:15;16:30;66
14.12.2022;16:30;16:45;67
14.12.2022;16:45;17:00;68
14.12.2022;17:00;17:15;69
14.12.2022;17:15;17:30;70
14.12.2022;17:30;17:45;71
14.12.2022;17:45;18:00;72
14.12.2022;18:00;18:15;73
14.12.2022;18:15;18:30;74
14.12.2022;18:30;18:45;75
14.12.1957;18:45;19:00;76
14.12.2022;19:00;19:15;77
14.12.2022;19:15;19:30;78
14.12.2022;19:30;19:45;79
14.12.2022;19:45;20:00;80
14.12.2022;20:00;20:15;81
14.12.2022;20:15;20:30;82
14.12.2022;20:30;20:45;83
14.12.2022;20:45;21:00;84
14.12.2022;21:00;21:15;85
14.12.2022;21:15;21:30;86
14.12.2022;21:30;21:45;87
14.12.2022;21:45;22:00;88
14.12.2022;22:00;22:15;89
14.12.2022;22:15;22:30;90
14.12.2022;22:30;22:45;91
14.12.2022;22:45;23:00;92
14.12.2022;23:00;23:15;93
14.12.2022;23:15;23:30;94
14.12.2022;23:30;23:45;95
14.12.2022;23:45;00:00;96
15.12.2022;00:00;00:15;97
15.12.2022;00:15;00:30;98
15.12.2022;00:30;00:45;99
15.12.2022;00:45;01:00;100
15.12.2022;01:00;01:15;101
15.12.2022;01:15;01:30;102
15.12.2022;01:30;01:45;103
15.12.2022;01:45;02:00;104
15.12.2022;02:00;02:15;105
15.12.2022;02:15;02:30;106
15.12.2022;02:30;02:45;107
15.12.2022;02:45;03:00;108
15.12.2022;03:00;03:15;109
15.12.2022;03:15;03:30;110
15.12.2022;03:30;03:45;111
15.12.2022;03:45;04:00;112
15.12.2022;04:00;04:15;113
15.12.2022;04:15;04:30;114
15.12.2022;04:30;04:45;115
15.12.2022;04:45;05:00;116
15.12.2022;05:00;05:15;117
15.12.2022;05:15;05:30;118
15.12.2022;05:30;05:45;119
15.12.2022;05:45;06:00;120
15.12.2022;06:00;06:15;121
15.12.2022;06:15;06:30;122
15.12.2022;06:30;06:45;123
15.12.2022;06:45;07:00;124
15.12.2022;07:00;07:15;125
15.12.2022;07:15;07:30;126
15.12.2022;07:30;07:45;127
15.12.2022;07:45;08:00;128
15.12.2022;08:00;08:15;129
15.12.2022;08:15;08:30;130
15.12.2022;08:30;08:45;131
15.12.2022;08:45;09:00;132
15.12.2022;09:00;09:15;133
15.12.2022;09:15;09:30;134
15.12.2022;09:30;09:45;135
15.12.2022;09:45;10:00;136
15.12.2022;10:00;10:15;137
15.12.2022;10:15;10:30;138
15.12.2022;10:30;10:45;139
15.12.2022;10:45;11:00;140
15.12.2022;11:00;11:15;141
15.12.2022;11:15;11:30;142
15.12.2022;11:30;11:45;143
15.12.2022;11:45;12:00;144
15.12.2022;12:00;12:15;145
15.12.2022;12:15;12:30;146
15.12.2022;12:30;12:45;147
15.12.2022;12:45;13:00;148
15.12.2022;13:00;13:15;149
15.12.2022;13:15;13:30;150
15.12.2022;13:30;13:45;151
15.12.2022;13:45;14:00;152
15.12.2022;14:00;14:15;153
15.12.2022;14:15;14:30;154
15.12.2022;14:30;14:45;155
15.12.2022;14:45;15:00;156
15.12.2022;15:00;15:15;157
15.12.2022;15:15;15:30;158
15.12.2022;15:30;15:45;159
15.12.2022;15:45;16:00;160
15.12.2022;16:00;16:15;161
15.12.2022;16:15;16:30;162
15.12.2022;16:30;16:45;163
15.12.2022;16:45;17:00;164
15.12.2022;17:00;17:15;165
15.12.2022;17:15;17:30;166
15.12.2022;17:30;17:45;167
15.12.2022;17:45;18:00;168
15.12.2022;18:00;18:15;169
15.12.2022;18:15;18:30;170
15.12.2022;18:30;18:45;171
15.12.2022;18:45;19:00;172
15.12.2022;19:00;19:15;173
15.12.2022;19:15;19:30;174
15.12.2022;19:30;19:45;175
15.12.2022;19:45;20:00;176
15.12.2022;20:00;20:15;177
15.12.2022;20:15;20:30;178
15.12.2022;20:30;20:45;179
15.12.2022;20:45;21:00;180
15.12.2022;21:00;21:15;181
15.12.2022;21:15;21:30;182
15.12.2022;21:30;21:45;183
15.12.2022;21:45;22:00;184
15.12.2022;22:00;22:15;185
15.12.2022;22:15;22:30;186
15.12.2022;22:30;22:45;187
15.12.2022;22:45;23:00;188
15.12.2022;23:00;23:15;189
15.12.2022;23:15;23:30;190
15.12.2022;23:30;23:45;191
15.12.2022;23:45;00:00;192
16.12.2022;00:00;00:15;193
16.12.2022;00:15;00:30;194
16.12.2022;00:30;00:45;195
16.12.2022;00:45;01:00;196
16.12.2022;01:00;01:15;197
16.12.2022;01:15;01:30;198
16.12.2022;01:30;01:45;199
16.12.2022;01:45;02:00;200
16.12.2022;02:00;02:15;201
16.12.2022;02:15;02:30;202
16.12.2022;02:30;02:45;203
16.12.2022;02:45;03:00;204
16.12.2022;03:00;03:15;205
16.12.2022;03:15;03:30;206
16.12.2022;03:30;03:45;207
16.12.2022;03:45;04:00;208
16.12.2022;04:00;04:15;209
16.12.2022;04:15;04:30;210
16.12.2022;04:30;04:45;211
16.12.2022;04:45;05:00;212
16.12.2022;05:00;05:15;213
16.12.2022;05:15;05:30;214
16.12.2022;05:30;05:45;215
16.12.2022;05:45;06:00;216
16.12.2022;06:00;06:15;217
16.12.2022;06:15;06:30;218
16.12.2022;06:30;06:45;219
16.12.2022;06:45;07:00;220
16.12.2022;07:00;07:15;221
16.12.2022;07:15;07:30;222
16.12.2022;07:30;07:45;223
16.12.2022;07:45;08:00;224
16.12.2022;08:00;08:15;225
16.12.2022;08:15;08:30;226
16.12.2022;08:30;08:45;227
16.12.2022;08:45;09:00;228
16.12.2022;09:00;09:15;229
16.12.2022;09:15;09:30;230
16.12.2022;09:30;09:45;231
16.12.2022;09:45;10:00;232
16.12.2022;10:00;10:15;233
16.12.2022;10:15;10:30;234
16.12.2022;10:30;10:45;235
16.12.2022;10:45;11:00;236
16.12.2022;11:00;11:15;237
16.12.2022;11:15;11:30;238
16.12.2022;11:30;11:45;239
16.12.2022;11:45;12:00;240
16.12.2022;12:00;12:15;241
16.12.2022;12:15;12:30;242
16.12.2022;12:30;12:45;243
16.12.2022;12:45;13:00;244
16.12.2022;13:00;13:15;245
16.12.2022;13:15;13:30;246
16.12.2022;13:30;13:45;247
16.12.2022;13:45;14:00;248
16.12.2022;14:00;14:15;249
16.12.2022;14:15;14:30;250
16.12.2022;14:30;14:45;251
16.12.2022;14:45;15:00;252
16.12.2022;15:00;15:15;253
16.12.2022;15:15;15:30;254
16.12.2022;15:30;15:45;255
16.12.2022;15:45;16:00;256
16.12.2022;16:00;16:15;257
16.12.2022;16:15;16:30;258
16.12.2022;16:30;16:45;259
16.12.2022;16:45;17:00;260
16.12.2022;17:00;17:15;261
16.12.2022;17:15;17:30;262
16.12.2022;17:30;17:45;263
16.12.2022;17:45;18:00;264
16.12.2022;18:00;18:15;265
16.12.2022;18:15;18:30;266
16.12.2022;18:30;18:45;267
16.12.2022;18:45;19:00;268
16.12.2022;19:00;19:15;269
16.12.2022;19:15;19:30;270
16.12.2022;19:30;19:45;271
16.12.2022;19:45;20:00;272
16.12.2022;20:00;20:15;273
16.12.2022;20:15;20:30;274
16.12.2022;20:30;20:45;275
16.12.2022;20:45;21:00;276
16.12.2022;21:00;21:15;277
16.12.2022;21:15;21:30;278
